YOUTUBE_URL                                      | START_TIME_SEC | STOP_TIME_SEC 
https://www.youtube.com/shorts/-ATMEUclb2U       | 0.00           | 17.10         
https://www.youtube.com/shorts/4LaJkLI8CIA       | 0.00           | 28.40         
https://www.youtube.com/shorts/21t-M79Pck8       | 2.90           | 39.20         
https://www.youtube.com/shorts/0lHhDGLFGQQ       | 0.00           | 26.10         
https://www.youtube.com/shorts/-ATMEUclb2U       | 0.00           | 17.10         
https://www.youtube.com/shorts/G22-T2eQjr0       | 0.00           | 31.70         
https://www.youtube.com/shorts/70BTl3k_wz4       | 0.00           | 20.30         
https://www.youtube.com/shorts/6lUiosPQhcA       | 0.00           | 20.40         
https://www.youtube.com/shorts/Md10KcqWxXY       | 0.00           | 40.90         
https://www.youtube.com/shorts/fCwtpx93AkI       | 0.00           | 34.00         
https://www.youtube.com/shorts/ZdIRWJZvOdU       | 0.00           | 34.50         
https://www.youtube.com/shorts/P8D5V_LDrv4       | 0.00           | 38.30         
https://www.youtube.com/shorts/PPRHYWnsE1k       | 0.00           | 24.80         
https://www.youtube.com/shorts/3ZlxRr5qhhA       | 0.00           | 20.10         
https://www.youtube.com/shorts/-bDYi3GckOk       | 0.00           | 23.70         
https://www.youtube.com/shorts/_rRVI2TGD64       | 0.00           | 27.30         
https://www.youtube.com/shorts/fgVq9cMwXUw       | 0.00           | 20.50         
https://www.youtube.com/shorts/PIVLgOyBzKo       | 0.00           | 16.50         
https://www.youtube.com/shorts/LPGwTAJkpJM       | 0.00           | 14.70         
